Asset_ID,Asset_Value,Maintenance_Cost,Age,Compliance_Status,Cybersecurity_Score,Physical_Security_Score,Vendor_Risk_Score,Environmental_Risk,Previous_Incidents
1,85326,38863,1,1,0,43,15,2,1
2,37476,47004,5,1,5,94,44,0,3
3,5873,4279,4,0,95,19,6,3,0
4,2589,65268,9,1,47,43,1,1,3
5,41848,83900,10,0,65,44,54,3,3
6,91655,15531,3,0,83,24,71,0,1
7,78010,27705,5,1,24,15,29,0,1
8,9699,28133,1,1,87,19,75,1,2
9,98885,3056,3,1,36,65,38,3,0
10,52510,56625,7,1,56,84,45,3,0
11,63941,31257,0,1,68,55,8,2,2
12,60488,72507,5,1,53,59,42,3,3
13,7423,72191,2,1,37,32,94,0,3
14,88220,39909,2,1,49,42,63,2,0
15,66499,13340,6,0,49,73,74,3,2
16,7434,91351,9,0,50,32,15,0,0
17,41976,42496,2,0,83,71,7,1,2
18,95118,7668,5,1,11,64,54,2,3
19,16350,25335,4,0,56,42,79,1,0
20,25347,62787,10,0,98,11,50,2,0
21,898,95553,3,1,82,81,96,2,0
22,37897,69928,4,1,58,47,28,1,3
23,92129,22705,10,1,87,49,19,2,3
24,18129,3560,4,0,24,6,94,3,0
25,57373,59722,3,0,8,57,94,1,3
26,51574,44333,10,1,59,47,38,1,1
27,59573,71588,5,0,90,94,78,1,1
28,81898,60492,9,0,24,75,42,1,3
29,83852,15491,10,1,43,0,50,3,2
30,95469,70395,10,0,53,18,34,2,3
31,62142,72606,4,1,16,61,23,0,2
32,94090,40615,2,1,16,99,36,0,2
33,51334,42782,7,0,24,91,96,0,0
34,61525,89978,6,1,67,76,90,3,2
35,43621,54492,3,0,84,11,55,0,0
36,7582,88359,9,0,41,85,73,3,2
37,38259,95828,6,0,82,0,32,0,3
38,75279,95690,1,0,89,39,20,2,3
39,45399,62089,6,1,93,27,65,2,2
40,75615,30675,10,1,100,62,2,0,3
41,28922,92976,10,1,100,96,80,1,1
42,65446,98089,2,1,12,80,81,0,3
43,95773,38778,10,1,50,97,37,2,0
44,76152,65814,1,0,24,88,4,2,2
45,40765,17338,7,0,19,71,90,3,3
46,41731,88720,1,0,57,70,63,0,3
47,90401,96070,7,0,38,48,12,0,1
48,21010,12385,3,1,99,59,97,0,3
49,95796,19,7,0,16,10,99,3,2
50,90093,78156,4,0,54,73,36,1,1
51,4490,46330,4,1,13,76,23,3,0
52,52966,28127,0,0,62,27,85,0,1
53,70874,86053,5,1,35,3,46,1,0
54,5308,45482,3,0,53,40,73,3,3
55,21022,2451,3,0,42,47,30,2,2
56,82074,59195,4,0,84,100,77,0,1
57,98468,61336,1,0,53,7,26,1,3
58,97523,78635,9,1,69,54,4,0,1
59,5710,86013,9,0,36,84,85,0,1
60,30775,46304,9,0,87,13,75,1,1
61,43752,75995,7,1,81,71,83,0,1
62,93375,74926,5,0,21,66,100,0,0
63,16714,83899,6,1,10,28,99,3,2
64,40554,36149,1,0,40,89,1,3,0
65,96820,11339,7,1,8,29,9,0,1
66,8425,16145,10,0,98,25,94,3,3
67,87306,23774,1,0,63,37,0,0,1
68,85722,63693,2,1,43,64,50,1,0
69,34441,7661,2,0,64,38,61,3,2
70,68540,43743,7,0,43,11,17,2,1
71,37964,66765,5,1,65,25,67,0,2
72,76410,22785,8,0,88,19,95,0,0
73,48513,59198,1,0,5,83,9,0,3
74,91433,45080,7,0,35,49,54,1,3
75,85837,16624,9,0,36,19,40,0,2
76,32938,518,6,1,56,83,9,3,1
77,39578,17069,7,0,78,99,3,3,1
78,10816,4483,0,0,36,65,94,0,1
79,66627,91989,3,1,70,28,88,1,2
80,20428,94884,8,1,17,4,38,3,2
81,31181,35887,9,0,91,95,1,3,3
82,89566,87140,10,1,53,39,93,0,0
83,34024,52490,5,1,35,40,33,3,3
84,73466,49197,6,1,25,13,96,3,0
85,68953,17227,4,0,29,92,24,1,1
86,82570,31951,4,1,65,30,2,2,0
