Asset_ID,Asset_Type,Asset_Value(in dollar),Location,Maintenance_Cost,Age,Compliance_Status,Cybersecurity_Score,Physical_Security_Score,Vendor_Risk_Score,Employee_Access_Level,Environmental_Risk,Previous_Incidents
1,Router,19623,Office B,79906,0,1,100,2,55,User,3,1 (Malware)
3,Router,16493,Data Center A,43539,0,1,95,97,0,User,1,0
1,Router,63080,Network Room C,60899,9,1,38,10,30,Admin,2,2 (Data Breach)
2,Laptop,62213,Data Center A,12279,6,1,0,9,7,Admin,2,1 (Malware)
3,Router,11547,Network Room C,26422,8,0,28,12,59,User,1,1 (Malware)
3,Router,85468,Network Room C,2621,6,0,73,19,31,User,3,2 (Data Breach)
2,Router,47405,Data Center A,76445,2,0,69,15,4,User,1,0
2,Server,53759,Data Center A,36632,6,0,100,43,82,Admin,1,2 (Data Breach)
3,Router,24167,Network Room C,86397,3,1,35,60,85,User,1,1 (Malware)
1,Router,62294,Network Room C,47033,0,1,69,61,15,User,3,3 (Physical Theft)
2,Server,23476,Data Center A,99254,5,0,28,13,39,Admin,1,3 (Physical Theft)
2,Server,53480,Network Room C,19877,1,1,36,20,60,User,2,2 (Data Breach)
3,Server,98813,Data Center A,52628,6,0,94,81,60,User,2,1 (Malware)
3,Router,88699,Data Center A,89346,10,1,0,67,71,User,2,0
3,Router,11927,Data Center A,78355,1,0,20,5,28,User,2,3 (Physical Theft)
2,Router,39612,Data Center A,63468,2,0,99,80,65,Admin,3,3 (Physical Theft)
1,Router,67854,Network Room C,75020,2,1,41,26,16,Admin,3,2 (Data Breach)
2,Laptop,44398,Data Center A,71758,5,1,84,26,18,Admin,2,2 (Data Breach)
1,Router,31532,Data Center A,41635,3,0,70,36,51,User,2,1 (Malware)
2,Router,91421,Data Center A,79143,2,0,44,79,96,Admin,3,1 (Malware)
2,Laptop,74231,Office B,16,1,1,87,94,68,Admin,3,2 (Data Breach)
1,Router,40778,Network Room C,53967,8,0,46,57,6,Admin,1,2 (Data Breach)
2,Server,72480,Network Room C,65090,2,1,33,20,75,User,3,1 (Malware)
2,Router,23760,Office B,31312,8,0,36,85,47,Admin,1,0
3,Server,5286,Data Center A,58999,3,1,90,18,50,Admin,1,1 (Malware)
2,Server,19664,Office B,88654,2,0,0,38,54,User,3,3 (Physical Theft)
1,Laptop,81111,Office B,65099,10,1,58,51,99,Admin,2,1 (Malware)
1,Router,36793,Network Room C,83558,6,1,0,26,84,User,3,0
3,Router,358,Office B,22178,3,0,82,65,66,Admin,1,3 (Physical Theft)
1,Server,36235,Office B,98544,8,0,21,14,32,User,3,2 (Data Breach)
3,Laptop,50020,Network Room C,70027,1,0,65,10,41,User,1,0
1,Router,45350,Data Center A,27412,10,1,3,15,5,Admin,3,0
3,Laptop,85820,Network Room C,25487,7,0,91,41,60,Admin,2,1 (Malware)
2,Router,96766,Network Room C,59109,9,0,66,80,86,User,1,1 (Malware)
1,Router,74682,Data Center A,8166,2,1,95,95,59,User,2,0
2,Router,38903,Office B,47641,8,0,15,92,31,User,2,3 (Physical Theft)
3,Laptop,46839,Office B,45317,3,1,47,9,26,Admin,1,0
1,Laptop,57353,Office B,79153,2,1,69,36,59,User,3,1 (Malware)
2,Server,1150,Data Center A,37553,9,0,68,86,54,Admin,1,2 (Data Breach)
3,Laptop,47402,Office B,35540,7,1,28,98,5,User,1,2 (Data Breach)
2,Server,50069,Office B,14983,1,0,33,95,50,User,2,2 (Data Breach)
2,Server,24124,Data Center A,23206,5,1,2,8,48,User,3,0
1,Laptop,58433,Office B,11356,3,1,89,66,74,User,3,1 (Malware)
3,Server,68418,Network Room C,18800,3,1,41,5,8,Admin,2,0
3,Server,59950,Data Center A,23137,10,0,26,37,82,Admin,1,2 (Data Breach)
3,Server,50678,Data Center A,6274,9,0,44,64,29,User,3,3 (Physical Theft)
1,Router,23878,Office B,25053,7,1,55,15,70,User,1,1 (Malware)
3,Server,81899,Network Room C,36735,7,0,84,10,71,User,1,2 (Data Breach)
1,Router,51231,Network Room C,42494,8,1,95,98,52,User,2,2 (Data Breach)
2,Laptop,63522,Data Center A,13738,6,1,51,44,32,User,1,1 (Malware)
2,Server,99197,Network Room C,35456,4,0,30,6,20,User,3,0
3,Laptop,99523,Network Room C,76074,6,0,55,3,100,Admin,1,3 (Physical Theft)
2,Router,36718,Data Center A,62378,0,0,28,69,99,Admin,1,3 (Physical Theft)
2,Router,47732,Network Room C,53266,5,0,2,53,45,User,1,0
2,Router,50085,Office B,46127,2,0,78,39,85,Admin,2,3 (Physical Theft)
3,Router,50347,Office B,30393,0,0,2,47,55,Admin,3,3 (Physical Theft)
2,Router,6755,Data Center A,94358,3,1,57,36,98,User,3,1 (Malware)
1,Laptop,62313,Network Room C,70407,10,1,32,44,18,Admin,1,1 (Malware)
3,Router,51645,Office B,45613,1,0,0,28,26,Admin,3,1 (Malware)
1,Router,31910,Data Center A,96130,6,0,32,63,54,Admin,3,1 (Malware)
3,Server,32740,Data Center A,85866,8,0,5,62,25,User,1,3 (Physical Theft)
2,Router,37800,Network Room C,35251,2,1,89,72,94,User,2,2 (Data Breach)
2,Laptop,45611,Data Center A,32862,3,1,58,13,19,User,2,0
1,Server,48720,Network Room C,59602,9,1,16,58,65,User,3,0
1,Server,16434,Data Center A,81531,3,0,29,67,100,User,2,1 (Malware)
3,Server,9197,Data Center A,6843,7,0,94,46,85,User,2,1 (Malware)
3,Router,54755,Network Room C,28443,9,1,55,11,95,User,3,3 (Physical Theft)
1,Server,13363,Network Room C,74483,9,1,15,53,47,User,3,2 (Data Breach)
2,Server,35289,Network Room C,39813,7,1,93,18,4,Admin,3,1 (Malware)
1,Router,35170,Office B,93735,6,0,36,43,4,Admin,3,1 (Malware)
3,Laptop,90623,Data Center A,86442,6,0,63,50,84,Admin,2,2 (Data Breach)
1,Router,7363,Data Center A,1387,2,1,23,56,15,User,1,0
3,Server,92007,Data Center A,16084,4,1,95,38,62,User,1,1 (Malware)
2,Router,57364,Office B,25288,9,1,68,71,28,User,3,2 (Data Breach)
3,Laptop,21689,Office B,17778,1,0,71,63,90,Admin,3,3 (Physical Theft)
1,Server,11857,Office B,22341,10,0,17,49,40,Admin,3,3 (Physical Theft)
3,Router,76300,Network Room C,67165,8,0,68,74,96,Admin,1,1 (Malware)
1,Server,8677,Data Center A,35293,7,0,83,17,5,Admin,1,0
2,Server,45600,Data Center A,94502,1,0,100,44,39,Admin,1,1 (Malware)
2,Laptop,26212,Office B,47802,5,0,85,5,92,Admin,1,1 (Malware)
2,Laptop,3514,Network Room C,26679,3,0,74,82,100,User,3,2 (Data Breach)
2,Laptop,81265,Data Center A,18357,0,0,19,41,93,User,2,3 (Physical Theft)
2,Router,1160,Office B,21269,1,0,31,13,40,Admin,1,1 (Malware)
2,Laptop,41808,Office B,56829,3,1,77,19,59,Admin,2,2 (Data Breach)
2,Laptop,46078,Office B,29692,6,0,21,41,82,User,3,3 (Physical Theft)
2,Server,63812,Office B,9000,2,1,19,1,39,Admin,3,2 (Data Breach)
3,Router,23963,Data Center A,98384,10,1,32,78,38,User,3,0
